N,P,K,temperature,humidity,ph,rainfall,label
94.97,47.86,32.43,24.1355,84.8149,6.8498,222.7549,rice
88.62,49.49,38.4,21.6168,80.4519,6.7312,210.5531,rice
96.48,53.66,42.03,24.3044,82.2884,6.5149,222.6905,rice
105.23,53.43,42.28,25.0335,80.6132,6.3383,231.9526,rice
87.66,33.98,39.3,23.6202,80.6965,6.6746,221.0749,rice
87.66,37.5,45.74,25.8152,81.0725,6.5984,220.893,rice
105.79,49.12,35.59,21.8393,82.6664,6.7238,204.5562,rice
97.67,49.11,41.15,21.133,80.5638,6.6588,205.4162,rice
85.31,49.12,42.72,20.3319,85.7673,6.7624,189.1427,rice
95.43,75.82,45.09,25.2441,79.3162,6.3662,258.4907,rice
85.37,49.57,46.27,23.9815,81.4394,6.8293,192.635,rice
85.34,54.08,35.25,22.9166,80.6808,6.5494,204.7561,rice
92.42,52.63,32.8,23.42,86.3409,7.0188,204.195,rice
70.87,50.21,49.67,21.3118,82.5897,6.3277,239.6883,rice
72.75,42.48,43.99,26.6686,85.0955,6.934,213.5111,rice
84.38,51.07,37.51,23.1938,77.5433,6.5495,247.4503,rice
79.87,38.82,51.31,23.1641,82.8012,6.3371,205.1832,rice
93.14,43.11,42.69,24.0886,84.6689,6.379,226.1379,rice
80.92,41.12,49.08,23.7215,82.2469,6.4199,201.6224,rice
75.88,45.65,42.41,23.3358,85.1964,6.606,267.1933,rice
104.66,63.52,54.36,21.8143,80.4481,6.6307,193.8728,rice
87.74,30.06,52.53,23.7072,86.228,6.3566,226.8161,rice
90.68,50.49,40.51,25.823,88.8967,6.4939,233.9431,rice
75.75,32.1,47.83,25.0181,80.9115,7.0356,229.1036,rice
84.56,41.22,45.87,25.3898,80.6635,6.9319,215.9237,rice
91.11,53.71,50.21,22.2332,86.3602,6.6091,217.1439,rice
78.49,45.51,36.21,21.5156,86.7387,6.5095,220.9639,rice
93.76,36.38,46.12,22.8113,80.4314,6.53,216.766,rice
83.99,39.28,48.35,23.0836,80.7394,6.6534,241.2053,rice
87.08,50.44,31.45,24.6413,81.1546,6.2443,268.6315,rice
83.98,39.16,34.9,20.4613,77.9666,6.4357,207.7352,rice
108.52,46.73,29.76,25.2943,79.244,6.0829,189.8643,rice
89.87,45.36,40.38,22.763,78.9876,6.5998,218.0578,rice
79.42,39.79,46.31,22.3597,79.6966,6.6618,276.7536,rice
98.23,62.15,51.01,21.4818,81.8959,6.3792,202.3192,rice
77.79,50.07,42.44,20.5177,82.7026,6.8935,256.0606,rice
92.09,28.8,51.77,24.2348,86.6515,6.1936,256.9094,rice
70.4,46.49,33.72,23.11,79.0049,6.1339,207.8211,rice
76.72,39.71,31.78,21.0651,84.953,6.5561,232.5176,rice
91.97,51.82,41.67,21.0574,81.358,6.7618,255.8247,rice
97.38,38.66,44.3,22.4963,81.8516,6.921,211.6592,rice
91.71,44.08,41.8,25.5035,84.0245,6.3853,215.5212,rice
88.84,49.04,29.6,22.6106,78.6318,6.7697,207.203,rice
86.99,51.93,41.47,20.7453,83.1472,6.4904,197.6754,rice
75.21,35.4,34.17,22.6314,82.4994,6.4568,205.7159,rice
82.8,42.32,46.02,22.5909,83.4774,6.7209,193.0733,rice
85.39,41.2,44.2,18.9547,82.8675,6.6631,220.7498,rice
100.57,39.77,36.36,22.9186,89.3659,6.1059,203.0606,rice
93.44,59.12,38.92,22.6536,80.0868,6.8691,225.1433,rice
72.37,48.24,35.64,24.0443,80.407,6.845,185.7703,rice
93.24,34.91,41.62,25.7734,80.1306,6.3436,227.2794,rice
86.15,52.34,47.73,24.6898,80.3336,6.599,238.3376,rice
83.23,61.98,36.09,22.5967,80.0878,6.6235,176.1378,rice
96.12,53.26,45.02,21.3402,85.567,6.5652,228.2292,rice
100.31,32.85,38.82,26.86,86.2615,6.3624,247.0087,rice
99.31,41.13,37.24,23.0888,80.2878,6.3321,193.3879,rice
81.61,55.14,41.36,23.0209,79.5029,6.4936,256.7966,rice
86.91,39.34,35.79,22.9638,83.4142,6.7932,229.2184,rice
93.31,48.55,38.68,23.2971,80.3433,6.6359,204.4897,rice
99.76,51.2,34.81,22.7835,83.8988,6.4073,218.7731,rice
85.21,37.58,53.79,22.1395,82.6088,6.6929,232.2832,rice
88.14,44.52,42.21,22.1797,77.4528,5.7879,221.6721,rice
78.94,19.07,37.8,22.9509,86.6425,6.7872,231.8526,rice
78.04,36.8,43.28,22.1849,87.3876,6.0651,199.7452,rice
98.13,42.98,41.33,21.9307,80.1616,6.4094,223.7259,rice
103.56,35.02,40.67,23.1596,80.8369,6.2201,188.8983,rice
89.28,58.06,45.69,22.6175,82.8576,6.1763,217.553,rice
100.04,33.56,46.55,25.256,83.0034,6.7902,200.114,rice
93.62,41.48,38.82,19.0235,83.9756,6.3831,203.8183,rice
83.55,46.05,38.55,24.6373,88.0306,6.5866,247.194,rice
93.61,56.53,40.35,24.8691,81.4692,6.4883,244.0088,rice
105.38,33.51,28.19,19.8899,79.6051,6.6193,233.401,rice
89.64,54.31,32.91,22.486,77.862,6.5192,195.9691,rice
105.65,45.08,50.2,22.4428,79.8072,6.1793,213.039,rice
63.8,37.15,51.87,20.8887,81.9006,6.7491,246.6881,rice
98.22,48.7,40.51,21.8333,87.3837,6.3766,223.1178,rice
90.87,46.59,45.46,21.3341,80.4472,6.1109,271.0252,rice
87.01,40.2,43.87,25.6284,82.6714,6.393,228.653,rice
90.92,45.56,60.47,24.4035,81.9507,6.8752,224.2251,rice
70.12,41.92,48.72,24.9073,85.5652,6.7126,213.1994,rice
87.8,45.91,41.23,24.0825,89.5808,6.4128,222.9379,rice
93.57,50.3,36.27,21.3064,80.4074,6.4127,216.6457,rice
104.78,57.69,32.36,22.2132,80.5317,6.4196,235.5784,rice
84.82,35.1,43.22,23.7341,85.1325,7.0192,241.0475,rice
81.92,62.06,37.46,21.1668,84.0457,6.5955,202.7082,rice
84.98,29.38,33.47,24.0695,87.5401,6.6075,190.7129,rice
99.15,43.79,38.12,22.6395,83.7518,6.7576,179.6035,rice
93.29,49.71,35.51,22.4378,80.9221,6.5597,231.1758,rice
84.7,47.25,52.12,24.0664,83.772,6.4352,195.7259,rice
95.13,40.02,47.29,23.6664,85.3261,6.4509,172.6364,rice
90.97,43.34,41.95,22.4586,84.4614,6.4821,228.5487,rice
99.69,41.06,50.88,24.739,83.5218,6.4907,274.846,rice
82.98,40.29,42.46,21.3784,85.2,6.6819,219.8664,rice
